item_id,category,brand,price,cost,launch_date
i200114,Home,CasaBella,77.46,49.55,2024-08-13
i200115,Beauty,Beautify,29.73,23.01,2023-12-04
i200116,Grocery,DailyGood,106.35,55.96,2023-10-04
i200117,Grocery,PantryPlus,33.55,23.28,2023-11-17
i200118,Grocery,DailyGood,61.17,29.99,2023-09-30
i200119,Home,ComfortCo,468.19,271.86,2023-11-04
i200120,Grocery,FreshFarm,84.83,37.36,2024-08-26
i200121,Fashion,TrendWear,800.0,583.26,2023-06-12
i200122,Grocery,PantryPlus,53.95,29.8,2023-01-13
i200123,Home,ComfortCo,340.2,228.76,2025-05-28
i200124,Fashion,TrendWear,554.29,431.1,2025-12-20
i200125,Electronics,ElecMax,270.85,127.62,2024-04-03
i200126,Grocery,FreshFarm,29.83,20.24,2025-03-30
i200127,Sports,ProFit,339.36,201.24,2023-07-09
i200128,Fashion,ClassicCloth,188.92,100.28,2025-08-11
i200129,Electronics,Techio,4862.33,2476.38,2025-11-13
i200130,Sports,Sportive,182.16,95.25,2025-04-08
i200131,Electronics,GigaPro,408.18,239.54,2024-08-28
i200132,Electronics,ElecMax,5000.0,3233.75,2024-02-04
i200133,Beauty,PureSkin,66.75,49.69,2023-05-01
i200134,Electronics,GigaPro,1179.92,881.58,2023-06-23
i200135,Electronics,GigaPro,1043.16,679.86,2025-04-25
i200136,Sports,Sportive,1000.0,679.06,2023-04-30
i200137,Fashion,UrbanStyle,254.78,111.42,2025-10-09
i200138,Electronics,ElecMax,1408.97,1058.85,2024-02-14
i200139,Electronics,ElecMax,2316.53,1330.95,2025-09-10
i200140,Grocery,PantryPlus,21.32,14.15,2023-12-29
i200141,Electronics,NovaTek,1256.79,735.38,2025-09-01
i200142,Fashion,ClassicCloth,114.74,90.42,2025-11-06
i200143,Fashion,UrbanStyle,118.39,91.73,2025-10-05
i200144,Beauty,GlowUp,122.75,90.58,2025-03-13
i200145,Grocery,DailyGood,59.8,28.09,2024-06-07
i200146,Sports,MoveWell,180.06,128.16,2025-06-27
i200147,Toys,FunTime,10.0,5.51,2023-06-05
i200148,Fashion,UrbanStyle,73.88,42.72,2023-10-19
i200149,Beauty,GlowUp,123.77,55.23,2023-04-22
i200150,Electronics,NovaTek,542.96,355.24,2024-10-03
i200151,Electronics,Techio,1347.0,796.1,2023-01-31
i200152,Grocery,PantryPlus,16.17,8.4,2023-01-25
i200153,Beauty,GlowUp,192.97,104.08,2023-04-21
i200154,Electronics,NovaTek,735.95,334.16,2024-05-09
i200155,Electronics,Techio,1653.73,1073.23,2024-02-02
i200156,Grocery,FreshFarm,11.62,8.84,2025-10-02
i200157,Home,ComfortCo,164.39,107.09,2023-07-13
i200158,Fashion,TrendWear,800.0,626.96,2025-11-22
i200159,Toys,KidJoy,38.54,18.32,2023-10-31
i200160,Grocery,PantryPlus,12.02,5.66,2023-06-06
i200161,Grocery,FreshFarm,200.0,111.01,2025-07-17
i200162,Grocery,PantryPlus,59.9,35.45,2023-07-06
i200163,Home,ComfortCo,800.0,610.78,2025-07-05
i200164,Fashion,UrbanStyle,800.0,615.54,2023-02-26
i200165,Sports,ProFit,98.16,76.9,2024-01-10
i200166,Grocery,FreshFarm,55.92,41.96,2024-07-17
i200167,Fashion,UrbanStyle,65.37,50.84,2025-11-27
i200168,Sports,MoveWell,160.41,79.33,2025-09-17
i200169,Grocery,FreshFarm,33.72,13.66,2023-10-23
i200170,Grocery,FreshFarm,46.1,19.5,2025-10-22
i200171,Sports,ProFit,118.24,76.46,2023-09-09
i200172,Beauty,Beautify,21.63,10.54,2024-08-05
i200173,Beauty,GlowUp,54.62,39.93,2023-02-27
i200174,Grocery,FreshFarm,62.17,25.54,2024-01-18
i200175,Sports,Sportive,618.85,375.54,2024-07-14
i200176,Home,ComfortCo,98.49,68.26,2025-06-10
i200177,Home,HomeEase,278.8,219.47,2023-05-12
i200178,Home,CasaBella,53.21,34.28,2023-03-09
i200179,Beauty,GlowUp,39.75,25.68,2023-03-12
i200180,Sports,ProFit,239.15,172.71,2025-01-09
i200181,Electronics,GigaPro,536.43,326.22,2024-06-01
i200182,Toys,KidJoy,34.04,18.2,2025-08-04
i200183,Beauty,GlowUp,87.03,50.79,2024-04-26
i200184,Home,ComfortCo,212.61,102.65,2025-08-14
i200185,Grocery,PantryPlus,51.67,29.3,2025-05-04
i200186,Fashion,ClassicCloth,193.04,109.14,2025-12-01
i200187,Fashion,UrbanStyle,85.4,56.53,2025-11-10
i200188,Fashion,TrendWear,586.92,335.31,2023-10-31
i200189,Beauty,Beautify,93.61,74.11,2025-11-09
i200190,Electronics,Techio,5000.0,2302.66,2023-01-08
i200191,Electronics,NovaTek,2775.56,1203.1,2024-02-05
i200192,Fashion,UrbanStyle,147.67,63.77,2023-02-16
i200193,Toys,KidJoy,40.73,16.99,2025-05-13
i200194,Beauty,Beautify,104.94,48.41,2023-07-14
i200195,Grocery,DailyGood,22.21,9.31,2025-11-18
i200196,Sports,MoveWell,252.68,146.61,2023-12-17
i200197,Electronics,GigaPro,2136.75,969.28,2025-05-07
i200198,Fashion,TrendWear,552.0,286.58,2025-08-19
i200199,Beauty,GlowUp,38.42,28.78,2024-10-30
i200200,Electronics,Techio,4944.13,2886.12,2023-10-21
i200201,Electronics,ElecMax,1006.03,745.44,2023-02-13
i200202,Grocery,DailyGood,67.91,34.81,2025-10-01
i200203,Sports,ProFit,227.78,111.19,2025-12-28
i200204,Sports,Sportive,409.61,320.67,2023-02-14
i200205,Beauty,Beautify,54.55,39.48,2025-03-02
i200206,Grocery,FreshFarm,43.6,29.33,2023-12-17
i200207,Home,CasaBella,190.19,102.71,2023-09-04
i200208,Grocery,FreshFarm,33.73,17.92,2024-12-30
i200209,Electronics,ElecMax,525.54,325.53,2023-10-01
i200210,Grocery,FreshFarm,49.98,35.82,2023-06-12
i200211,Grocery,PantryPlus,24.41,17.08,2025-04-13
i200212,Electronics,ElecMax,181.53,73.57,2024-07-22
i200213,Electronics,Techio,1344.9,556.45,2023-10-25
i200214,Electronics,ElecMax,1972.4,1377.44,2024-07-09
i200215,Sports,ProFit,184.85,144.66,2025-04-21
i200216,Sports,MoveWell,616.11,489.01,2023-04-05
i200217,Electronics,ElecMax,3441.58,2103.9,2023-06-09
i200218,Fashion,ClassicCloth,130.16,101.07,2025-09-07
i200219,Home,HomeEase,141.09,103.34,2025-05-10
i200220,Fashion,UrbanStyle,117.97,76.46,2024-07-24
i200221,Home,CasaBella,152.55,112.44,2023-03-24
i200222,Fashion,UrbanStyle,212.42,145.52,2024-10-13
i200223,Sports,ProFit,115.88,47.42,2023-02-19
i200224,Home,CasaBella,212.59,97.99,2024-02-29
i200225,Home,HomeEase,445.41,259.21,2023-12-25
i200226,Fashion,ClassicCloth,338.86,236.99,2024-09-18
i200227,Grocery,PantryPlus,48.78,35.1,2024-02-21
i200228,Sports,Sportive,921.29,436.13,2024-04-12
i200229,Grocery,DailyGood,74.14,51.75,2023-02-20
i200230,Grocery,FreshFarm,12.03,6.52,2025-07-12
i200231,Beauty,PureSkin,107.9,57.57,2023-10-31
i200232,Home,ComfortCo,162.98,112.91,2023-08-16
i200233,Home,HomeEase,133.29,76.06,2023-06-06
i200234,Beauty,GlowUp,180.38,110.38,2024-09-25
i200235,Beauty,GlowUp,77.8,62.18,2024-10-02
i200236,Beauty,Beautify,99.38,73.95,2023-12-12
i200237,Fashion,UrbanStyle,132.18,65.9,2024-12-25
i200238,Toys,Playful,23.86,12.77,2024-06-01
i200239,Fashion,UrbanStyle,177.58,76.1,2024-03-18
i200240,Fashion,UrbanStyle,633.5,425.96,2025-11-30
i200241,Beauty,PureSkin,188.73,122.04,2025-12-15
i200242,Grocery,PantryPlus,56.62,29.96,2023-06-16
i200243,Toys,FunTime,24.31,18.29,2023-06-21
i200244,Grocery,PantryPlus,48.62,29.6,2024-06-29
i200245,Beauty,Beautify,104.0,64.09,2024-10-28
i200246,Beauty,Beautify,46.73,27.22,2025-01-02
i200247,Grocery,FreshFarm,39.07,26.93,2023-04-29
i200248,Electronics,ElecMax,3638.81,2462.73,2025-11-04
i200249,Grocery,DailyGood,68.24,36.04,2025-05-04
i200250,Beauty,Beautify,169.96,131.95,2023-10-13
i200251,Fashion,UrbanStyle,354.92,278.75,2023-03-15
i200252,Fashion,TrendWear,800.0,576.39,2023-03-18
i200253,Electronics,Techio,3037.11,1626.7,2024-01-07
i200254,Home,HomeEase,800.0,528.41,2025-02-07
i200255,Fashion,TrendWear,133.27,65.52,2025-02-27
i200256,Toys,KidJoy,41.88,31.72,2024-12-13
i200257,Home,ComfortCo,54.57,33.03,2023-10-01
i200258,Sports,ProFit,219.04,125.09,2024-04-28
i200259,Sports,MoveWell,141.29,82.62,2025-12-13
i200260,Fashion,TrendWear,152.64,79.22,2025-07-05
i200261,Electronics,NovaTek,1490.22,1056.72,2025-01-08
i200262,Beauty,PureSkin,174.93,77.73,2023-07-16
i200263,Electronics,Techio,2189.25,1552.2,2025-10-10
i200264,Electronics,ElecMax,1079.29,831.23,2025-10-08
i200265,Electronics,GigaPro,913.77,617.01,2025-12-14
i200266,Home,CasaBella,131.53,75.14,2024-10-17
i200267,Fashion,TrendWear,78.11,46.95,2024-11-10
i200268,Toys,FunTime,68.59,41.19,2025-07-31
i200269,Grocery,PantryPlus,80.42,34.64,2025-02-05
i200270,Home,CasaBella,63.38,31.24,2025-05-24
i200271,Beauty,GlowUp,118.95,68.37,2023-10-15
i200272,Grocery,FreshFarm,165.1,112.23,2024-09-01
i200273,Beauty,GlowUp,130.58,89.0,2025-06-28
i200274,Beauty,GlowUp,264.92,132.75,2024-05-16
i200275,Home,ComfortCo,165.9,87.7,2023-06-28
i200276,Fashion,UrbanStyle,216.35,139.57,2024-07-02
i200277,Home,ComfortCo,175.44,83.12,2025-03-13
i200278,Grocery,FreshFarm,106.15,72.89,2024-08-02
i200279,Fashion,UrbanStyle,84.18,60.14,2024-10-11
i200280,Fashion,TrendWear,800.0,388.74,2024-12-27
i200281,Toys,FunTime,55.38,23.06,2024-04-03
i200282,Fashion,UrbanStyle,237.61,138.34,2025-02-17
i200283,Grocery,FreshFarm,92.38,72.29,2025-08-25
i200284,Sports,MoveWell,103.85,77.19,2023-11-01
i200285,Electronics,NovaTek,1148.9,708.74,2023-02-21
i200286,Beauty,PureSkin,12.5,7.3,2023-11-30
i200287,Grocery,DailyGood,59.62,35.09,2023-12-20
i200288,Grocery,DailyGood,43.27,22.95,2024-08-08
i200289,Fashion,ClassicCloth,272.36,194.29,2023-03-22
i200290,Home,CasaBella,35.75,27.3,2024-02-27
i200291,Beauty,Beautify,40.38,19.37,2023-06-26
i200292,Electronics,GigaPro,2212.82,1628.85,2024-01-25
i200293,Home,HomeEase,58.57,24.92,2025-09-28
i200294,Toys,FunTime,60.7,38.26,2025-09-10
i200295,Grocery,DailyGood,73.2,40.27,2023-06-16
i200296,Fashion,TrendWear,91.36,47.73,2025-11-29
i200297,Grocery,FreshFarm,36.83,23.84,2024-11-25
i200298,Home,CasaBella,197.14,101.48,2025-02-23
i200299,Electronics,ElecMax,4648.91,3459.96,2025-08-11
i200300,Home,CasaBella,102.27,44.05,2024-01-24
i200301,Grocery,DailyGood,49.26,34.69,2024-02-13
i200302,Grocery,FreshFarm,60.0,30.16,2025-04-07
i200303,Sports,ProFit,128.63,58.42,2025-05-07
i200304,Toys,KidJoy,57.08,40.26,2025-02-04
i200305,Grocery,DailyGood,41.1,22.41,2025-08-22
i200306,Home,CasaBella,178.07,135.58,2024-02-18
i200307,Beauty,Beautify,19.61,9.39,2024-10-10
i200308,Grocery,FreshFarm,34.18,15.48,2023-09-19
i200309,Fashion,TrendWear,460.18,323.98,2025-01-05
i200310,Grocery,PantryPlus,28.44,20.46,2024-11-12
i200311,Toys,FunTime,89.21,46.57,2023-10-07
i200312,Sports,ProFit,216.87,138.96,2024-03-15
i200313,Electronics,ElecMax,1257.67,560.75,2023-07-12
i200314,Electronics,ElecMax,1694.33,768.0,2024-10-04
i200315,Home,CasaBella,229.75,105.91,2023-04-02
i200316,Grocery,FreshFarm,154.51,114.98,2025-03-09
i200317,Toys,Playful,94.82,64.89,2024-10-01
i200318,Beauty,GlowUp,47.01,37.53,2024-08-08
i200319,Fashion,ClassicCloth,185.03,104.94,2024-07-27
i200320,Electronics,Techio,1954.43,1194.64,2025-05-07
i200321,Fashion,ClassicCloth,165.82,104.93,2024-08-13
i200322,Electronics,ElecMax,1669.97,822.74,2023-06-26
i200323,Home,CasaBella,188.83,131.49,2024-05-21
i200324,Electronics,ElecMax,5000.0,3927.56,2024-02-28
i200325,Fashion,UrbanStyle,424.92,331.02,2024-07-06
i200326,Sports,Sportive,428.85,333.45,2023-12-04
i200327,Sports,Sportive,205.97,121.49,2023-02-15
i200328,Fashion,ClassicCloth,372.2,281.34,2023-01-12
i200329,Toys,KidJoy,71.72,52.35,2024-05-31
i200330,Fashion,UrbanStyle,219.98,151.73,2025-03-10
i200331,Grocery,DailyGood,41.38,22.47,2025-12-28
i200332,Fashion,TrendWear,411.98,256.57,2025-10-14
i200333,Sports,Sportive,96.56,43.87,2024-02-02
i200334,Electronics,NovaTek,1405.17,815.09,2024-02-01
i200335,Beauty,GlowUp,177.53,129.65,2023-04-14
i200336,Fashion,UrbanStyle,256.53,173.12,2025-05-06
i200337,Home,ComfortCo,265.98,140.31,2024-11-26
i200338,Fashion,TrendWear,136.94,88.53,2024-03-28
i200339,Fashion,ClassicCloth,113.41,75.72,2023-01-19
i200340,Fashion,ClassicCloth,159.42,83.31,2024-03-17
i200341,Grocery,DailyGood,40.76,16.78,2025-06-30
i200342,Fashion,UrbanStyle,185.65,82.06,2024-01-02
i200343,Home,ComfortCo,55.7,29.02,2024-07-02
i200344,Electronics,ElecMax,602.49,382.56,2024-07-27
i200345,Fashion,TrendWear,180.32,114.87,2023-07-01
i200346,Home,ComfortCo,74.11,46.67,2024-09-25
i200347,Grocery,PantryPlus,25.71,10.97,2025-02-02
i200348,Grocery,PantryPlus,14.51,7.88,2024-10-28
i200349,Grocery,FreshFarm,82.01,39.47,2024-04-27
i200350,Fashion,TrendWear,47.12,24.58,2025-06-05
i200351,Electronics,Techio,2377.63,1870.66,2025-09-02
i200352,Toys,KidJoy,111.98,70.65,2024-11-08
i200353,Sports,MoveWell,554.07,433.08,2024-07-26
i200354,Electronics,Techio,3224.89,2531.97,2024-11-30
i200355,Toys,Playful,93.6,47.0,2024-09-18
i200356,Grocery,FreshFarm,28.5,18.13,2023-12-14
i200357,Toys,FunTime,33.76,20.67,2025-11-24
i200358,Toys,Playful,73.58,41.24,2024-05-22
i200359,Sports,MoveWell,291.96,229.23,2025-02-06
i200360,Fashion,TrendWear,133.7,96.86,2023-06-02
i200361,Sports,MoveWell,220.34,113.12,2023-01-25
i200362,Sports,Sportive,300.25,170.1,2025-10-04
i200363,Beauty,Beautify,154.54,95.3,2024-12-18
i200364,Sports,MoveWell,98.34,61.35,2023-10-19
i200365,Fashion,ClassicCloth,539.85,327.22,2023-12-05
i200366,Sports,Sportive,399.52,226.42,2025-10-06
i200367,Home,CasaBella,584.55,376.32,2025-06-24
i200368,Grocery,FreshFarm,21.67,12.12,2024-11-02
i200369,Grocery,PantryPlus,63.56,46.72,2025-03-17
i200370,Fashion,ClassicCloth,209.29,150.82,2023-11-27
i200371,Fashion,UrbanStyle,62.46,34.48,2023-07-30
i200372,Fashion,ClassicCloth,169.31,96.48,2023-10-16
i200373,Electronics,ElecMax,2143.35,1361.45,2024-09-07
i200374,Electronics,Techio,4878.08,2167.27,2023-10-22
i200375,Toys,Playful,165.52,95.91,2025-09-27
i200376,Electronics,ElecMax,1445.63,651.07,2023-05-26
i200377,Fashion,TrendWear,157.2,85.76,2023-06-08
i200378,Fashion,ClassicCloth,161.65,101.54,2023-05-02
i200379,Home,CasaBella,206.03,132.4,2023-01-22
i200380,Beauty,GlowUp,96.01,41.4,2024-05-24
i200381,Fashion,UrbanStyle,630.32,281.85,2025-07-05
i200382,Toys,Playful,66.52,32.58,2024-05-29
i200383,Sports,Sportive,40.0,24.22,2023-10-11
i200384,Fashion,TrendWear,276.01,163.08,2023-12-13
i200385,Beauty,Beautify,103.98,82.89,2025-04-20
i200386,Fashion,UrbanStyle,164.13,118.62,2025-07-15
i200387,Toys,FunTime,97.2,61.52,2023-11-23
i200388,Grocery,PantryPlus,16.41,12.37,2024-06-05
i200389,Toys,KidJoy,15.84,12.5,2025-02-23
i200390,Grocery,DailyGood,27.28,11.55,2025-09-14
i200391,Toys,KidJoy,105.2,48.07,2023-01-30
i200392,Fashion,UrbanStyle,171.63,113.97,2023-06-02
i200393,Grocery,DailyGood,128.91,75.53,2024-11-26
i200394,Electronics,ElecMax,797.93,612.08,2023-03-24
i200395,Grocery,FreshFarm,28.72,21.16,2024-12-10
i200396,Fashion,ClassicCloth,216.02,163.73,2024-10-03
i200397,Fashion,UrbanStyle,800.0,608.46,2024-03-04
i200398,Beauty,PureSkin,61.76,28.71,2025-08-22
i200399,Sports,ProFit,1000.0,785.17,2025-09-08
i200400,Sports,ProFit,214.71,92.77,2025-03-14
i200401,Sports,MoveWell,671.78,498.47,2024-04-09
i200402,Electronics,Techio,3861.85,2610.85,2023-06-25
i200403,Toys,KidJoy,46.96,31.08,2023-07-05
i200404,Toys,Playful,53.25,27.55,2024-11-04
i200405,Electronics,Techio,2011.07,1495.13,2024-11-25
i200406,Electronics,GigaPro,1535.03,764.66,2023-09-05
i200407,Grocery,PantryPlus,64.1,38.23,2023-08-27
i200408,Toys,KidJoy,48.15,31.22,2025-09-17
i200409,Sports,MoveWell,911.42,677.79,2024-04-09
i200410,Fashion,ClassicCloth,186.44,123.46,2025-10-10
i200411,Home,HomeEase,152.87,114.12,2024-05-01
i200412,Electronics,ElecMax,881.97,393.13,2023-04-04
i200413,Sports,ProFit,207.37,102.54,2024-10-17
i200414,Beauty,Beautify,59.19,34.58,2023-05-03
i200415,Grocery,FreshFarm,66.89,39.54,2025-09-02
i200416,Sports,Sportive,142.18,67.42,2023-08-01
i200417,Fashion,TrendWear,483.29,284.09,2024-10-18
i200418,Grocery,DailyGood,148.47,103.13,2024-07-12
i200419,Sports,Sportive,62.3,32.4,2023-11-17
i200420,Toys,KidJoy,171.32,115.36,2023-09-14
i200421,Sports,ProFit,463.08,351.38,2023-03-15
i200422,Home,ComfortCo,166.35,107.97,2023-12-27
i200423,Electronics,Techio,1989.41,902.04,2023-04-04
i200424,Sports,ProFit,44.21,32.22,2023-08-15
i200425,Grocery,DailyGood,29.65,17.74,2025-08-04
i200426,Grocery,DailyGood,50.16,30.85,2025-09-09
i200427,Grocery,FreshFarm,33.2,25.6,2023-06-05
i200428,Grocery,DailyGood,27.81,12.5,2025-07-14
i200429,Fashion,TrendWear,611.83,351.82,2025-12-30
i200430,Sports,Sportive,140.9,75.58,2023-09-13
i200431,Sports,ProFit,188.89,83.24,2024-04-26
i200432,Beauty,Beautify,114.54,56.62,2025-07-08
i200433,Toys,FunTime,300.0,203.02,2024-12-11
i200434,Home,ComfortCo,70.69,44.55,2023-05-12
i200435,Home,CasaBella,432.17,242.26,2024-08-25
i200436,Grocery,DailyGood,54.38,23.0,2023-07-27
i200437,Grocery,PantryPlus,116.51,81.27,2025-03-12
i200438,Grocery,PantryPlus,28.65,20.7,2023-05-29
i200439,Fashion,TrendWear,153.03,98.26,2023-04-16
i200440,Beauty,GlowUp,34.58,23.43,2025-11-22
i200441,Sports,ProFit,310.34,147.41,2024-11-22
i200442,Home,HomeEase,100.54,76.2,2023-01-07
i200443,Home,ComfortCo,39.55,16.2,2025-06-30
i200444,Home,HomeEase,361.88,180.51,2025-03-27
i200445,Beauty,GlowUp,152.72,120.07,2024-03-10
i200446,Home,CasaBella,87.35,65.33,2025-09-19
i200447,Home,ComfortCo,34.31,19.77,2023-01-06
i200448,Grocery,DailyGood,186.98,112.98,2025-12-19
i200449,Beauty,Beautify,142.62,89.25,2024-06-05
i200450,Sports,Sportive,595.27,267.76,2023-09-30
i200451,Electronics,Techio,1470.98,847.11,2025-04-12
i200452,Home,ComfortCo,122.87,68.68,2023-02-21
i200453,Electronics,Techio,757.67,389.76,2024-09-16
i200454,Home,CasaBella,255.21,105.88,2024-01-03
i200455,Grocery,FreshFarm,41.04,31.49,2025-02-20
i200456,Grocery,DailyGood,25.56,14.0,2024-02-10
i200457,Sports,ProFit,135.63,101.24,2025-01-14
i200458,Grocery,DailyGood,28.13,20.45,2023-10-13
i200459,Home,HomeEase,717.5,396.44,2024-02-27
i200460,Electronics,Techio,782.6,328.32,2024-02-17
i200461,Toys,Playful,115.41,86.27,2025-09-13
i200462,Grocery,DailyGood,43.92,28.4,2025-07-25
i200463,Toys,Playful,146.41,67.39,2025-01-10
i200464,Electronics,Techio,304.62,193.06,2024-08-04
i200465,Home,HomeEase,37.05,16.73,2023-11-16
i200466,Home,HomeEase,800.0,544.74,2024-12-02
i200467,Fashion,ClassicCloth,94.02,63.33,2023-09-29
